token	apariciones	ejemplos (Strong: definición)
opposed	6	G3891: Ser opposed a ley, es decir, a transgress || G5227: Contraria. Bajo (covertly) contrary to, es decir, opposed o (como sustantivo) adversario || G4561: Carne. Carne (como stripped de piel), es decir, (estrictamente) meat de animal (como comida), o (por extensión) cuerpo (como opposed a alma (o espíritu), o como símbolo de qué es externo, o como medio de kindred), o (…
get	6	G2932: Se gane. Get, es decir, acquire (por cualquier medio; propio) || G4399: Habló. Get earlier start de, es decir, anticipate || G2043: Hincada. Prop, es decir, (reflexivamente) get rápido
equipment	6	G2680: Fabricó. Preparar a fondo (propiamente, por externo equipment; mientras que G2090 (ἑτοιμάζω) refers más bien a internal fitness); por implicación, a construct, crear || G2676: Perfección. Thorough equipment (en sentido subjetivo) || G4632: Vaso. Vasija, instrumento, equipment o apparatus (literal o figurativamente [especialmente, esposa como contributing a usefulness de marido])
miss	6	G264: Pecó. Propiamente, a miss marca (y así no parte en prize), es decir, (figurativamente) a err, especialmente (moralmente) a sin || G3901: Nos escurramos. Fluir por, es decir, (figurativamente) carelessly pasar (miss) || G795: Distrayéndose. Miss marca, es decir, (figurativamente) deviate de verdad
fracture	6	G4938: Quebrantamiento. Concussion o proferir fracture (propiamente, en concreto), es decir, completar ruina || G2800: Partir. Fracture (acto) || H4386: Fracture
drawn	6	G1668: Plaga. Ulcer (como si drawn junto) || G4950: Sirte. Shoal (de sand drawn thither por waves), es decir, Syrtis Major o grande bay en norte coast de Africa || H2835: Rebañuelos. Propiamente, drawn fuera, es decir, separated; de aquí, pequeño compañía (como divided de reposo)
petition	6	G1189: Rogó. Beg (como binding uno mismo), es decir, petition || G1162: Ruego. Petition || G2171: Voto. Propiamente, wish, expressed como petition a Dios, o en votive obligación
cross	6	G1224: Pasa. Cross || G4362: Vaso. Sujetar to, es decir, (especialmente), a impale (en cross) || G4716: Cruz. Stake o poste (como poner upright), es decir, (especialmente), pole o cross (como instrumento de capital castigo); figurativamente, exposure a muerte, es decir, sí mismo-denial; por implicación, atonement de Cristo
shine	6	G5316: Parecer. Lighten (shine), es decir, mostrar (transitivo o intransitivo, literal o figurativo) || G5461: Alumbra. Shed rays, es decir, a shine o (transitivamente) a brighten arriba (literal o figurativamente) || G2014: Se manifestó. Shine sobre, es decir, llegar ser (literalmente) visible o (figurativamente) conocido
occupancy	6	G2697: Posesión. Sujeción abajo, es decir, occupancy || G5117: Lugar. Mancha (general en espacio, pero limited por occupancy; mientras que G5561 (χώρα) es grande pero participio locality), es decir, location (como posición, hogar, tract, etc..); figurativamente, condición, opportunity; especialmente, scabbard || H2631: Poseerán. Sostener en occupancy
want	6	G4326: Necesitado. Require además, es decir, want además || G192: Injusticia. Want de sí mismo-restricción || G5535: Necesitáis. Hacer (es decir, tener) necessity, es decir, ser en want de
greece	6	G4811: Calumniéis. Ser figurativamente-informer (reporter de ley forbidding exportation de figs de Greece), "sycophant", es decir, (genitivo y por extensión) a defraud (exact unlawfully, extort) || G116: Atenas. Athenæ, capitol de Greece || G1671: Grecia. Hellas (o Greece), país de Europe
deliberate	6	G4496: Echaron. Fling (propiamente, con quick lanzar, así diferente de G906 (βάλλω), el cual denota deliberate hurl; y de (ver en G1614 (ἐκτείνω)), el cual indicates extended projection); por qualification, a depósito (como si… || G1011: Quería. Advise, es decir, (reflexivamente) deliberate, o (por implicación) resolve || G4817: Pensaban. Reckon junto (con uno mismo), es decir, deliberate
alone	6	G1439: Dejó. Dejar ser, es decir, permit o dejar alone || G846: Reflexivo pronombre sí mismo, usado (alone o en comparativo G1438 (ἑαυτοῦ)) de tercera persona, y (con propio personal pronombre) de otro personas || H2790: Calló. Scratch, es decir, (por implicación) a grabar, plough; de aquí (de uso de tools) a fabricate (de cualquier material); figurativamente, a devise (en malo sentido); de aquí (de idea de secrecy) a ser silent, a dejar alone…
sole	6	G4547: Sandalias. De origen incierta); slipper o sole-pad || G3439: Único. Solo-nacido, es decir, sole || G3441: Sólo. Remaining, es decir, sole o solo; por implicación, mere
delay	6	G1019: Tarda. Delay || G691: Se tarda. Ser idle, es decir, (figurativamente) a delay || G5035: Luego. Shortly, es decir, sin delay, soon, o (por surprise) suddenly, o (por implicación, de ease) readily
depression	6	G5014: Bajeza. Depression (en rango o sentimiento) || H6010: Valle. Vale (es decir, broad depression) || H6040: Aflicción. Depression, es decir, misery
type	6	G4520: Reposo. A "sabbatism", es decir, (figurativamente) reposo de Cristoianity (como type de heaven) || G897: Babilonia, capitol de Chaldæa (literal o figurativamente (como type de tyranny)) || G3789: Serpiente. Snake, figurativamente, (como type de sly cunning) artful malicious persona, especialmente Satan
subordinate	6	G5256: Servirle. Ser subordinate, es decir, (por implicación) subserve || G5225: Había. Comenzar bajo (quietly), es decir, venir hacia existencia (ser presente o en mano); expletively, a exist (como copula o subordinate a adjetivo, participio, adverbio o preposición, o como auxiliary a principal (verbo) || G4892: Consejo. Coyuntura session, es decir, (especialmente), Judío Sanhedrin; por analogía, subordinate tribunal
deed	6	G1345: Juicio. Equitable deed; por implicación, statute o decisión || G1653: Ten misericordia. Compasivo (por palabra o deed, especialmente, por divina grace) || G4229: Nada. Deed; por implicación, affair; por extensión, objeto (material)
messiah	6	G5547: Cristo. Anointed, es decir, Messiah, epíteto de Jesus || G500: Anticristo. Adversario de Messiah || G5580: Falsos Cristos. Spurious Messiah
jesus	6	G5547: Cristo. Anointed, es decir, Messiah, epíteto de Jesus || G2424: Jesús. Jesus (es decir, Jehoshua), nombre de nuestro Señor y dos (tres) otro Israelitas || G2960: Perteneciente a Señor (Jehová o Jesus)
strew	6	G2693: Lo cual fueron postrados. Strew abajo, es decir, (por implicación) a postrar (slay) || G4766: Hazte. "strew," es decir, extender (como carpet o lecho) || G5291: Tendían. Strew underneath (pies como carpet)
lose	6	G1601: Dar. Gota lejos; especialmente, ser driven fuera de propio curso; figurativamente, a lose, llegar ser inefficient || G1950: Olvidéis. Lose fuera de mente; por implicación, a neglect || G577: Perdáis. Arrojar fuera; figurativamente, a lose
acquisition	6	G4047: Posesión. Acquisition (acto o cosa); por extensión, preservation || G4200: Granjería. Furnishing (procuring), es decir, (por implicación) dinero-getting (acquisition) || G2819: Suerte. Morir (para dibujo chances); por implicación, porción (como si así secured); por extensión, acquisition (especialmente patrimony, figurativamente)
useful	6	G5543: Mejor. Employed, es decir, (por implicación) useful (en manera o morals) || G2173: Útil. Easily usado, es decir, useful || G5536: Precio. Algo useful o needed, es decir, riqueza, precio
convene	6	G4867: Juntos. Convene || G4871: Estando juntos. Accumulate, es decir, convene || G4905: Juntáis. Convene, partir en compañía con, asociar con, o (especialmente), cohabit (conjugally)
bay	6	G2568: Bueno Harbors, es decir, Fairhaven, bay de Crete || G2859: Seno. Seno; por analogía, bay || G4950: Sirte. Shoal (de sand drawn thither por waves), es decir, Syrtis Major o grande bay en norte coast de Africa
invest	6	G4034: Rodeó. Illuminate todo alrededor, es decir, invest con halo || G1737: Vestía. Invest (con vestidura) || G4016: Vestida. Arrojar todo alrededor, es decir, invest (con palisade o con ropa)
choice	6	G139: Secta. Propiamente, choice, es decir, (especialmente) grupo o (en abstracto) disunion || G880: Mudo. Voiceless, es decir, mute (por naturaleza o choice); figurativamente, unmeaning || G140: He escogido. Hacer choice
similarly	6	G3898: En manera cerca por, es decir, (figurativamente) similarly || G4880: Morir. Decease (literalmente) en compañía con, o (figurativamente), similarly a || G3668: Esta. Similarly
intellect	6	G3540: Intento. Percepción, es decir, propósito, o (por implicación) intellect, disposición, sí mismo || G4907: Conocimiento. Mental putting junto, es decir, inteligencia o (en concreto) intellect || G3563: Mente. Intellect, es decir, mente (divina o humano; en pensamiento, sentimiento, o will); por implicación, significado
whip	6	G3148: Azote. Whip (literalmente, Romano flagellum para criminals; figurativamente, enfermedad) || G3147: Azotar. Whip (literalmente) || G5416: Hecho un azote. Whip, es decir, Romano lash como público castigo
sentiment	6	G5368: Amo. Ser amigo a (aficionado de (individuo o objeto)), es decir, tener afecto para (denotando personal attachment, como asunto de sentiment o sentimiento; mientras G25 (ἀγαπάω) es wider, embracing especialmente judgment y … || G5426: Tener. Ejercer mente, es decir, entertain o tener sentiment o opinión; por implicación, a ser (mentalmente) disposed (más o menos ardientemente en cierto dirección); intensivamente, a interés uno mismo en (con concern o obed… || G4861: Unánimes. Co-spirited, es decir, semejante en sentiment
instruction	6	G1319: Enseñar. Instruction (function o information) || G1322: Doctrina. Instruction (acto o asunto) || H3045: Sé. Conocer (propiamente, a averiguar por seeing); usado en grande variedad de sentidos, figurativamente, literalmente, eufemísticamente y inferentially (incluido observation, cuidado, recognition; y causativamente, instruction, design…
information	6	G1319: Enseñar. Instruction (function o information) || G1860: Promesa. Announcement (para information, asentimiento o pledge; especialmente divina assurance de bueno) || G1268: Se divulgue. Distribute, es decir, (de information) a disseminate
surely	6	G281: Amén. Propiamente, firme, es decir, (figurativamente) trustworthy; adverbialmente, surely (menudo como interjección, así ser ello) || H389: Empero. Partícula de affirmation, surely; de aquí (por limitation) solo || H403: Empero. Firmly; figurativamente, surely; también (advers.) pero
planted	6	G3504: Neófito. Newly planted, es decir, (figurativamente) joven convert ("neophyte") || G4702: Sembrados. Sown, es decir, (neutro plural) planted campo || H1503: Tronco. Trunk o stump de atree (como felled o como planted)
obey	6	G4933: Guardaba. Guardar estrechamente junto, es decir, (por implicación) a conserve (de ruina); mentalmente, a remember (y obey) || G3008: Ministrando. Ser público siervo, es decir, (por analogía) a perform religiosa o charitable functions (adoración, obey, relieve) || G5442: Guardé. Vigilar, es decir, ser en guardia (literalmente de figurativamente); por implicación, a preserve, obey, avoid
injury	6	G5083: Guarda. Quizá afín a G2334 (θεωρέω)); a guardia (de pérdida o injury, propiamente, por keeping ojo sobre; y así diferente de G5442 (φυλάσσω), el cual es propiamente a prevent escaping; y de G2892 (κουστωδία), el cual por implicación… || G5196: Trabajo. Insolence (como sobre-bearing), es decir, insult, injury || G1949: Tomó. Apoderarse (para ayuda, injury, attainment, o cualquier otro propósito; literal o figurativamente)
detest	6	G948: Abominables. Ser disgusted, es decir, (por implicación) detest (especialmente de idolatría) || G655: Aborreciendo. Detest del todo || G3404: Aborrece. Detest (especialmente a persecute); por extensión, a amar menos
predict	6	G4303: Denuncio. Ser testigo en avance es decir, predict || G4280: He dicho. Usado como alternativo de G4277 (προέπω); a decir already, predict || G4293: Han anunciado. Anounce beforehand, es decir, predict, promise
vomit	6	G1829: Vomit, es decir, comida disgorged || G1692: Vomit || H5606: Herirá. Clap manos (en señal de compacto, burla, aflicción, indignation, o castigo); por implicación de satisfacción, a ser enough; por implicación de excess, a vomit
easily	6	G2173: Útil. Easily usado, es decir, useful || H4116: Apriesa. Propiamente, a ser liquid o fluir easily, es decir, (por implicación); a hurry (en bueno o malo sentido); menudo usado (con otro verbo) adverbialmente, promptly || H4254: Gala. Mantle (como easily drawn fuera)
precipitate	6	G2601: Serás abajada. Causar a ir abajo, es decir, precipitate || G641: Se echasen. Hurl fuera, es decir, precipitate (uno mismo) || G2630: Precipitate abajo
criminal	6	G2724: Acusasen. Complaint ("category"), es decir, criminal charge || G113: Malvados. Lawless, es decir, (por implicación) criminal || G5406: Homicida. Murderer (siempre de criminal (o en menor intentional) homicide; el cual G443 (ἀνθρωποκτόνος) does no necessarily imply; mientras G4607 (σικάριος) es especial término para público bandit)
leg	6	G4628: Piernas. Mediante la idea de leanness); leg (como lank) || H657: Sin. Cessation, es decir, fin (especialmente de tierra); menudo usado adverbio, no además; también ankle (en dual), como siendo extremo de leg o pie || H3225: Diestra. Derecho mano o lado (leg, ojo) de persona o otro objeto (como stronger y más dexterous); locally, sur
violate	6	G3845: Traspasan. Ir contrary to, es decir, violate command || G114: Desecha. Poner aparte, es decir, (por implicación) a disesteem, neutralize o violate || H3533: Sojuzgado. Pisar abajo; de aquí, negatively, a disregard; positively, a conquer, subjugate, violate
command	6	G3845: Traspasan. Ir contrary to, es decir, violate command || G5219: Obedecía. Oír bajo (como subordinate), es decir, a escuchar attentively; por implicación, a heed o conform a command o autoridad || G4487: Mal. Declaración (individually, colectivamente o especialmente),; por implicación, asunto o tema (especialmente de narration, command o disputa); con negativo naught cualquiera
victorious	6	G3533: Nicópolis. Victorious ciudad; Nicopolis, lugar en Macedonia || G959: Victorious; Bernice, miembro de Herodian familia || G2131: Victorious; Eunice, Jewess
pastor	6	G1249: Servidor. Attendant, es decir, (genitivo caso) waiter (en table o en otro menial duties); especialmente, Cristiano maestro y pastor (técnicamente, deacon o deaconess) || G4166: Pastor. Shepherd (literal o figurativamente) || G32: Ángel. Compárese G34 (ἀγέλη)) (to traer tidings); messenger; especialmente "ángel"; por implicación, pastor
handle	6	G4400: Ha predestinado. Handle para uno mismo en avance, es decir, (figurativamente) a propósito || G1315: Matarme. Handle a fondo, es decir, poner violento manos sobre || H3032: Echaron. Propiamente, a handle, es decir, a arrojar, p. ej. lots
introduce	6	G3923: Dar. Llevar en junto a, es decir, introduce simultaneously || G4921: Estaban. Poner junto, es decir, (por implicación) a introduce (favorably), o (figurativamente) a mostrar; intransitivamente, a estar en pie cerca, o (figurativamente) a constitute || G1521: Mete. Introduce (literal o figurativamente)
honorable	6	G4320: Sube. Ascender farther, es decir, ser promoted (tomar superior (más honorable) asiento) || G4586: Graves. Venerable, es decir, honorable || G2903: Muy buen. Strongest, es decir, (en dignidad) muy honorable
principal	6	G5225: Había. Comenzar bajo (quietly), es decir, venir hacia existencia (ser presente o en mano); expletively, a exist (como copula o subordinate a adjetivo, participio, adverbio o preposición, o como auxiliary a principal (verbo) || G754: Principal de los publicanos. Principio impuesto-gatherer || G2774: Suma. Principal cosa, es decir, main punto; especialmente, cantidad (de dinero)
channel	6	G5494: Invierno. Afín a base de 5490 mediante la idea de channel), significado tormenta (como pouring lluvia); por implicación, rainy tiempo, es decir, invierno || H2975: Río. Channel, p. ej. fosse, canal, shaft; específicamente Nile, como uno río de Egipto, incluido su collateral trenches; también Tigris, como main río de Asiria || H4492: Cuevas. Propiamente, channel o fissure, es decir, (por implicación) cavern
meat	6	G2907: Carne. (butcher's) meat || G4561: Carne. Carne (como stripped de piel), es decir, (estrictamente) meat de animal (como comida), o (por extensión) cuerpo (como opposed a alma (o espíritu), o como símbolo de qué es externo, o como medio de kindred), o (… || G3111: Carnicería. Butcher's puesto, meat market o provision-shop
enemy	6	G2205: Celo. Propiamente, calor, es decir, (figurativamente) "zeal" (en favorable sentido, ardor; en unfavorable uno, jealousy, como de marido (figurativamente, de Dios), o enemy, malice) || G476: Adversario (en lawsuit); especialmente, Satan (como arco-enemy) || H1494: Esquilaba. Cortar fuera; específicamente a shear aflock o shave cabello; figurativamente a destruir enemy
bullock	6	G3447: Hicieron un becerro. Fabricate imagen de bullock || G5022: Toros. Bullock || G3448: Becerro. Joven bullock
explain	6	G1956: Declaraba. Solve además, es decir, (figurativamente) a explain, decide || G3177: Declarado. Explain sobre, es decir, translate || G1329: Interprete. Explain a fondo, por implicación, a translate
summon	6	G4377: Llamó. Sonido hacia, es decir, dirigirse, exclaim, summon || G3343: Haz. Enviar de elsewhere, es decir, (medio voz) a summon o invite || G4341: Llamó. Llamar hacia uno mismo, es decir, summon, invite
trial	6	G178: Sin ser condenado. Sin (legal) trial || G5005: Cuitado. Enduring trial, es decir, miserable || G1809: Ha pedido. Exigir (para trial)
nearly	6	G3946: Semejantes. Alike nearly, es decir, semejante || G788: Más nearly, es decir, muy cerca || G4975: Casi. Nigh, es decir, nearly
better	6	G2123: Más fácil. Better para fatiga, es decir, más facile || G2566: Muy bien. (adverbialmente) better que muchos || G2909: Mejor. Stronger, es decir, (figurativamente) better, es decir, nobler
living	6	G72: Instrucción. Bringing arriba, es decir, modo de living || G981: Vida. Living (propiamente, acto, por implicación, modo) || H2416: Vivo. Alive; de aquí, raw (carne); fresco (planta, agua, año), fuerte; también (como sustantivo, especialmente en femenino singular y masculino plural) vida (o living cosa), si literal o figurativamente
depressed	6	G5011: Humilde. Depressed, es decir, (figurativamente) humiliated (en circumstances o disposición) || H6035: Manso. Depressed (figurativamente), en mente (gentle) o circumstances (needy, especialmente saintly) || H6041: Pobre. Depressed, en mente o circumstances
inside	6	G1471: En cinta. Swelling inside, es decir, pregnant || G1787: Entre. Inside (adverbio o sustantivo) || G2081: Dentro. De inside; también usado como equivalent a G2080 (ἔσω) (inside)
olive	6	G1636: Oliva. Olive (árbol o fruto) || G2565: Buena. Cultivated olive árbol, es decir, domesticated o improved uno || G1637: Aceite. Olive aceite
extensive	6	G5561: País. Aposento, es decir, espacio de territorio (más o menos extensive; menudo incluido su habitantes) || G4753: Tropa. Armament, es decir, (por implicación) cuerpo de troops (más o menos extensive o systematic) || G3624: Casa. Dwelling (más o menos extensive, literal o figurativo); por implicación, familia (más o menos related, literal o figurativamente)
revere	6	G5399: Temed. Frighten, es decir, (pasivamente) a ser alarmed; por analogía, a ser en awe de, es decir, revere || G4576: Pías. Revere, es decir, adore || G5091: Honra. Prize, es decir, fix valuation sobre; por implicación, a revere
drinking	6	G4224: Banquetes. Drinking-bout o carousal || G4213: Bebida. Drinking (acto), es decir, (en concreto) draught || G4221: Vaso. Drinking-vasija; por extensión, contents thereof, es decir, cupful (draught); figurativamente, suerte o fate
dull	6	G1021: Tardío. Slow; figurativamente, dull || G3474: Fatuo. Dull o necio (como si cerrar arriba), es decir, heedless, (moralmente) blockhead, (al parecer) absurd || H3513: Honra. Ser heavy, es decir, en malo sentido (burdensome, severo, dull) o en bueno sentido (numerous, rico, honorable; causativamente, a hacer weighty (en mismo dos sentidos)
untrue	6	G5571: Falsos. Untrue, es decir, erroneous, deceitful, malvado || G5577: Falso testimonio. Untrue testimony || G5575: Testigos. Spurious testigo, es decir, bearer de untrue testimony
may	6	G5600: Mar. (may, might, can, could, would, should, must, etc..; también con G1487 (εἰ) y su comparativo, como bien como con otro partículos) ser || H2099: Ziph. Ziv (que corresponde Ijar o May) || H3201: Puedo. Ser able, literalmente (can, could) o moralmente (may, might)
might	6	G5600: Mar. (may, might, can, could, would, should, must, etc..; también con G1487 (εἰ) y su comparativo, como bien como con otro partículos) ser || G1498: Sería. Might (could, would, o should) ser || H3201: Puedo. Ser able, literalmente (can, could) o moralmente (may, might)
flute	6	G836: Flauta. Flute (como blown) || G834: Tañedores de flautas. Flute-player || G832: Tañimos flauta. Jugar flute
deride	6	G1702: Burlado. Jeer en, es decir, deride || G2606: Se burlaban. Laugh abajo, es decir, deride || H2048: Deride; por implicación, a cheat
impale	6	G4362: Vaso. Sujetar to, es decir, (especialmente), a impale (en cross) || G4957: Estaban crucificados. Impale en compañía con (literal o figurativamente) || G4717: Crucificado. Impale en cross; figurativamente, a extinguish (someter) pasión o selfishness
report	6	G3377: Lo enseñó. Disclose (mediante la idea de mental esfuerzo y así calling a mente), es decir, report, declarar, intimate || G5334: Saying, es decir, report || G1310: Divulgar. Report a fondo, es decir, divulgate
exult	6	G2620: Te jactes. Exult contra (es decir, sobre) || G21: Gozóse. Propiamente, a jump para gozo, es decir, exult || H5539: Si me asaltase. Probablemente a leap (con gozo), es decir, exult
fuel	6	G3586: Árbol. Timber (como fuel o material); por implicación, palo, club o árbol o otro wooden artículo o substance || G5208: Bosque. Forest, es decir, (por implicación) fuel || H3980: Pábulo. Algo eaten (por fuego), es decir, fuel
business	6	G5058: Banco. Impuesto-gatherer's lugar de business || G1281: Había negociado. A fondo ocupar uno mismo, es decir, (transitivamente y por implicación) a earn en business || G5537: Respuesta. Proferir oracle (compárese original sentido de G5530 (χράομαι)), es decir, divinaly intimate; por implicación, (compárese secular sentido de G5532 (χρεία)) a constitute firme para business, es decir, (en general) llevar como título
speed	6	G4710: Eficacia. "speed", es decir, (por implicación) despatch, eagerness, earnestness || G4704: Procura. Uso speed, es decir, a hacer esfuerzo, ser prompt o earnest || G4692: Apriesa. "speed" ("study"), es decir, urge en (diligently o ardientemente); por implicación, a esperar eagerly
despatch	6	G4710: Eficacia. "speed", es decir, (por implicación) despatch, eagerness, earnestness || G4842: Enviamos. Despatch en compañía || G1821: Envió. Enviar lejos adelante, es decir, (en mission) a despatch, o (peremptorily) a dismiss
comb	6	G2781: Miel. Cell para miel, es decir, (colectivamente) comb || G3193: Panal. Relating a miel, es decir, bee (comb) || H3293: Monte. Copse de bushes; de aquí, forest; de aquí, miel en comb (como hived en trees)
confirm	6	G4741: Afirmó. Poner rápido, es decir, (literalmente) a volver resolutely en cierto dirección, o (figurativamente) a confirm || G1226: Afirman. Confirm a fondo (por palabras), es decir, asseverate || G4599: Corrobore. Probablemente afín a base de G2476 (ἵστημι)); a strengthen, es decir, (figurativamente) confirm (en espiritual knowledge y poder)
estimate	6	G3049: Piense. Tomar inventory, es decir, estimate (literal o figurativamente) || G357: Pensamiento. Estimate, es decir, (figurativamente) contemplate || H3699: Cuenta. Estimate
straighten	6	G461: Alzad. Straighten arriba || G2116: Gobierna. Straighten (nivel); técnicamente, a steer || G1930: Corrigieses. Straighten además, es decir, (figurativamente) ordenar además
accumulate	6	G4871: Estando juntos. Accumulate, es decir, convene || G1865: Juntándose. Accumulate || G2002: Se amontonarán. Accumulate además, es decir, (figurativamente) buscar además
liberal	6	G4650: Esparce. Dissipate, es decir, (figurativamente) poner a huida, desolación, ser liberal || G2130: Dadivosos. Bueno en imparting, es decir, liberal || G2843: Que con facilidad comuniquen. Communicative, es decir, (pecuniarily) liberal
cistern	6	G999: Hoyo. Agujero (en suelo); especialmente, cistern || G5421: Pozo. Agujero en suelo (cavado para obtaining o sujeción agua o otro purposes), es decir, cistern o bien; figurativamente, abyss (como prisión) || H877: Cisterna. Cistern
tempest	6	G2366: Tempestad. Tempest || G4366: Dió con ímpetu. Rasgar hacia, es decir, burst sobre (como tempest o flood) || H2149: Más viles. Propiamente, shaking, es decir, quizá tempest
lash	6	G5416: Hecho un azote. Whip, es decir, Romano lash como público castigo || G5417: Habiendo azotado. Whip, es decir, lash como público castigo || G2438: Correa. Strap, es decir, (especialmente) atar (de sandal) o lash (de scourge)
limbs	6	G2659: Remordimiento. Prickling (sensation, como de limbs asleep), es decir, (por implicación, (quizá por alguno confusion con G3506 (νεύω) o aun con G3571 (νύξ))) stupor (lethargy) || H6056: Sus ramas. {rama (como cubierta limbs)} || H6057: Ramos. Rama (como cubierta limbs)
testimony	6	G5577: Falso testimonio. Untrue testimony || G5575: Testigos. Spurious testigo, es decir, bearer de untrue testimony || G1941: Apelando. Entitle; por implicación, a invoke (para ayuda, adoración, testimony, decisión, etc..)
lift	6	G142: Tome. Lift arriba; por implicación, a tomar arriba o lejos; figurativamente, a levantar (voz), guardar en suspense (mente), especialmente, a navegar lejos (es decir, weigh anchor); por hebraísmo (compárese H05375) a expiate sin || G522: Tomar. Lift fuera, es decir, quitar || G941: Trae. Lift, literal o figurativamente (endure, declarar, sustain, recibir, etc..)
seeing	6	G1489: Si en efecto, seeing que, unless, (con negativo) de otro modo || G845: Lo vieron. Sí mismo-seeing, es decir, ojo-testigo || H3045: Sé. Conocer (propiamente, a averiguar por seeing); usado en grande variedad de sentidos, figurativamente, literalmente, eufemísticamente y inferentially (incluido observation, cuidado, recognition; y causativamente, instruction, design…
useless	6	G512: Vanas. Useless o (neutro) inutility || G692: Ociosa. Inactive, es decir, unemployed; (por implicación) lazy, useless || G888: Inútil. Useless, es decir, (eufemísticamente) unmeritorious
impose	6	G2007: Pon. Impose (en amistoso o hostil sentido) || G2599: He agravado. Impose sobre || H5190: Trajo. Lift; por implicación, a impose
bandage	6	G2611: Vendó. Atar abajo, es decir, bandage (herida) || G3608: Lienzos. Lino bandage || H1455: Curará. Quitar (bandage de herida, es decir, heal ello)
discipline	6	G3986: Prueba. Putting a proof (por experiment (de bueno), experiencia (de mal), solicitation, discipline o provocation); por implicación, adversity || G3985: Tentáis. Probar (en sentido objetivo), es decir, endeavor, scrutinize, entice, discipline || G3811: Castiga. Train arriba niño, es decir, educate, o (por implicación), discipline (por castigo)
partiality	6	G4380: Hacéis acepción. Favor individuo, es decir, mostrar partiality || G4382: Acepción. Partiality, es decir, favoritism || G4381: Acepción. Accepter de rostro (individuo), es decir, (especialmente), uno exhibiting partiality
divide	6	G3718: Que traza. Rightly divide || G2622: Partió. Romper abajo, es decir, divide || H909: Solo. Divide, es decir, (reflejo.) ser solitary
greater	6	G3123: Mejor. (adverbialmente) más (en greater grado)) o más bien || G4208: Más lejos. Además, es decir, greater distancia || G2908: Mejor. (como sustantivo) better, es decir, greater advantage
asunder	6	G1282: Regañaban. Saw asunder, es decir, (figurativamente) a exasperate || G1283: Saquear. Apoderarse asunder, es decir, saquear || G1284: Rotas. Rasgar asunder
stumbling	6	G679: Sin caída. No stumbling, es decir, (figurativamente) sin sin || G4349: Escándalo. Stumbling, es decir, (figurativamente y en concreto) ocasión de sin || H1848: Infamia. Stumbling-block
agreeable	6	G2101: Agrada. Por completo agreeable || G700: Plugo. Ser agreeable (o por implicación, a buscar a ser así) || G701: Justo. Agreeable; por implicación, apto
artificial	6	G5456: Voz. Tone (articulate, bestial o artificial); por implicación, dirigirse (para cualquier propósito), saying o lengua || G5457: Fuego. Compárese G5316 (φαίνω), G5346 (φημί)); luminousness (en más amplio aplicación, natural o artificial, abstracto o concreto, literal o figurativo) || G4112: Fingidas. Moulded, es decir, (por implicación) artificial o (figurativamente) fictitious (falso)
basket	6	G2894: Cestos. A (pequeño) basket || G4553: Serón. Basket (como interwoven o wicker-obra || H1731: Cesta. Pot (para boiling); también (por semejanza de forma) basket
dwelling	6	G1886: Habitación. Choza sobre cabeza, es decir, dwelling || G3624: Casa. Dwelling (más o menos extensive, literal o figurativo); por implicación, familia (más o menos related, literal o figurativamente) || G2732: Morada. Dwelling-lugar
style	6	G4769: Columna. Propiamente afín a base de G2476 (ἵστημι)); poste ("style"), es decir, (figurativamente) sostener || G5179: Señal. Morir (como struck), es decir, (por implicación) stamp o scar; por analogía, forma, es decir, statue, (figurativamente) style o semejanza; especialmente, sampler ("type"), es decir, model (para imitation) o instance (para warning) || G5158: Manera. Volver, es decir, (por implicación) modo o style (especialmente con preposición o relativo prefijo como adverbio, como); figurativamente, deportment o carácter
broad	6	G4116: Ancha. Extender fuera "llano" ("parcela"), es decir, broad || G1321: Enseña. Teach (en mismo broad aplicación) || G4501: Espada. Sabre, es decir, largo y broad cutlass (cualquier weapon de clase, literal o figurativamente)
enter	6	G1531: Entra. Enter (literal o figurativamente) || G5562: Venir. Ser en (dar) espacio, es decir, (intransitivamente) a pasar, enter, o (transitivamente) a sostener, admitir (literal o figurativamente) || G4897: Entró. Enter en compañía con
employment	6	G5540: Uso. Employment, es decir, (especialmente), sexual relación (como occupation de cuerpo) || G4981: Escuela. Propiamente, loitering (como withholding de uno mismo de obra) o leisure, es decir, (por implicación) a "school" (como vacation de físico employment) || G5532: Obra. Employment, es decir, affair; también (por implicación) ocasión, exigir, requirement o destitution
sown	6	G4703: Simiente. Scattering (de semilla), es decir, (en concreto) semilla (como sown) || G4690: Linaje. Algo sown, es decir, semilla (incluido masculino "sperm"); por implicación, offspring; especialmente, remnant (figurativamente, como si kept sobre para planting) || G4702: Sembrados. Sown, es decir, (neutro plural) planted campo
twist	6	G4962: Recogido. Twist junto, es decir, recoger (bundle, multitud) || G4762: Atrás. Twist, es decir, volver quite alrededor o reverse (literal o figurativamente) || H1379: Señala. Propiamente, a twist como arope; a atado (como por línea)
undergo	6	G5278: Sufridos. Quedarse bajo (detrás), es decir, permanecer; figurativamente, a undergo, es decir, llevar (trials), tener fortitude, persevere || G4310: Aun habiendo padecido. Undergo dificultad previamente || G2005: Cabo. Fulfill además (o completamente), es decir, execute; por implicación, a terminate, undergo
hang	6	G2910: Depende. Hang || G1582: Estaba suspenso. Hang sobre lips de speaker, es decir, escuchar estrechamente || H2211: Enhiesto. Hang, es decir, impale
